Date,Income/Expenses,Category,Memo,Amount
2026-05-07,Income,Salary,Monthly Salary,217333
2026-05-07,Expenses,Bills,Axis Bank,-734
2026-05-07,Expenses,Home,Advance for grill,-11000
2026-05-06,Expenses,Clothing,Baby Cloth,-2094
2026-05-05,Expenses,Transportation,Bus/Train,-340
2026-05-04,Expenses,Home,Home Loan EMI,-17527
